timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
540757.872,398154864,301204441,-30.39
540857.872,398154858,301204798,-29.07
540957.872,398154877,301205143,-26.14
541057.872,398154877,301205143,-24.18
541157.872,398154912,301205479,-22.43
541257.872,398154912,301205479,-21.9
541357.872,398154959,301205806,-21.08
541457.872,398154959,301205806,-20.86
541557.872,398155012,301206120,-20.36
541657.872,398155012,301206120,-20.32
541757.872,398155012,301206120,-19.76
541857.872,398155074,301206425,-19.84
541957.872,398155150,301206720,-19.69
542057.872,398155150,301206720,-19.41
542157.872,398155233,301206999,-18.3
542257.872,398155233,301206999,-17.04
542357.872,398155324,301207265,-15.49
542457.872,398155324,301207265,-15.37
542557.872,398155423,301207517,-17.17
542657.872,398155423,301207517,-17.55
542757.872,398155423,301207517,-16.36
542857.872,398155529,301207755,-15.25
542957.872,398155639,301207980,-13.46
543057.872,398155639,301207980,-11.97
543157.872,398155756,301208196,-10.12
543257.872,398155756,301208196,-9.08
543357.872,398155876,301208407,-8.37
543457.872,398155876,301208407,-8.51
543557.872,398155997,301208614,-9.43
543657.872,398155997,301208614,-9.19
543757.872,398155997,301208614,-7.36
543857.872,398156122,301208816,-6.46
543957.872,398156250,301209013,-6.53
544057.872,398156250,301209013,-7.2
544157.872,398156380,301209206,-8.13
544257.872,398156380,301209206,-9.53
544357.872,398156520,301209391,-12.01
544457.872,398156520,301209391,-12.43
544557.872,398156667,301209565,-12.17
544657.872,398156667,301209565,-12.63
544757.872,398156667,301209565,-12.57
544857.872,398156819,301209730,-12.22
544957.872,398156976,301209887,-11.28
545057.872,398156976,301209887,-9.68
545157.872,398157137,301210039,-8.39
545257.872,398157137,301210039,-7.54
545357.872,398157300,301210188,-8.58
545457.872,398157300,301210188,-9.38
545557.872,398157464,301210332,-10.03
545657.872,398157464,301210332,-11.31
545757.872,398157464,301210332,-9.47
545857.872,398157632,301210467,-7.79
545957.872,398157802,301210594,-7.32
546057.872,398157802,301210594,-9.44
546157.872,398157975,301210713,-13.02
546257.872,398157975,301210713,-13.97
546357.872,398158152,301210822,-13.99
546457.872,398158152,301210822,-13.93
546557.872,398158331,301210923,-12.42
546657.872,398158331,301210923,-10.51
546757.872,398158331,301210923,-7.73
546857.872,398158513,301211017,-6.19
546957.872,398158694,301211104,-5.84
547057.872,398158694,301211104,-6.24
547157.872,398158877,301211185,-8.7
547257.872,398158877,301211185,-11.7
547357.872,398159062,301211253,-12.43
547457.872,398159062,301211253,-11.12
547557.872,398159250,301211310,-10.24
547657.872,398159250,301211310,-10.48
547757.872,398159250,301211310,-10.1
547857.872,398159434,301211361,-10.28
547957.872,398159616,301211408,-11.53
548057.872,398159616,301211408,-11.78
548157.872,398159796,301211450,-10.81
548257.872,398159796,301211450,-11.26
548357.872,398159977,301211483,-11.52
548457.872,398159977,301211483,-11.65
548557.872,398160158,301211507,-12.02
548657.872,398160158,301211507,-10.75
548757.872,398160158,301211507,-11.19
548857.872,398160337,301211520,-11.66
548957.872,398160514,301211520,-11.75
549057.872,398160514,301211520,-12.35
549157.872,398160689,301211507,-14.08
549257.872,398160689,301211507,-14.24
549357.872,398160861,301211479,-13.68
549457.872,398160861,301211479,-12.09
549557.872,398161030,301211438,-9.05
549657.872,398161030,301211438,-7.9
549757.872,398161030,301211438,-6.46
549857.872,398161196,301211390,-4.1
549957.872,398161358,301211337,-3.16
550057.872,398161358,301211337,-2.54
550157.872,398161517,301211286,1.17
550257.872,398161517,301211286,4.16
550357.872,398161674,301211239,6.84
550457.872,398161674,301211239,6.74
550557.872,398161827,301211197,4.35
550657.872,398161827,301211197,3.7
550757.872,398161979,301211159,2.09
550857.872,398161979,301211159,1.37
550957.872,398162129,301211119,0.28
551057.872,398162129,301211119,-0.9300000000000002
551157.872,398162279,301211078,-1.07
551257.872,398162279,301211078,-0.64
551357.872,398162432,301211039,-0.36
551457.872,398162432,301211039,-1.02
551557.872,398162585,301211003,-1.73
551657.872,398162585,301211003,-0.9299999999999999
551757.872,398162585,301211003,-3.85
551857.872,398162738,301210968,-4.37
551957.872,398162891,301210932,-4.99
552057.872,398162891,301210932,-4.7
552157.872,398163046,301210890,-6.31
552257.872,398163046,301210890,-5.82
552357.872,398163201,301210842,-4.79
552457.872,398163201,301210842,-5.12
552557.872,398163360,301210789,-4.62
552657.872,398163360,301210789,-5.32
552757.872,398163360,301210789,-5.28
552857.872,398163525,301210731,-5.96
552957.872,398163695,301210667,-6.17
553057.872,398163695,301210667,-5.85
553157.872,398163870,301210596,-5.92
553257.872,398163870,301210596,-4.63
553357.872,398164047,301210522,-4.24
553457.872,398164047,301210522,-4.25
553557.872,398164225,301210446,-4.47
553657.872,398164225,301210446,-4.71
553757.872,398164225,301210446,-6.04
553857.872,398164406,301210366,-6.89
553957.872,398164586,301210279,-7.13
554057.872,398164586,301210279,-7.27
554157.872,398164763,301210184,-6.51
554257.872,398164763,301210184,-5.46
554357.872,398164934,301210085,-4.61
554457.872,398164934,301210085,-3.3
554557.872,398165099,301209984,-2.47
554657.872,398165099,301209984,-2.7
554757.872,398165099,301209984,-2.75
554857.872,398165258,301209886,-3.2
554957.872,398165411,301209788,-4.09
555057.872,398165411,301209788,-3.3
555157.872,398165557,301209691,-2.54
555257.872,398165557,301209691,-3.5
555357.872,398165696,301209592,-5.83
555457.872,398165696,301209592,-6.15
555557.872,398165828,301209492,-1.99
555657.872,398165828,301209492,0.18000000000000005
555757.872,398165828,301209492,-0.35
555857.872,398165951,301209393,-1.61
555957.872,398166065,301209297,-0.26
556057.872,398166065,301209297,-0.11
556157.872,398166171,301209205,0.75
556257.872,398166171,301209205,1.53
556357.872,398166271,301209117,2.09
556457.872,398166271,301209117,2.15
556557.872,398166363,301209035,1.75
556657.872,398166363,301209035,2.63
556757.872,398166363,301209035,2.9
556857.872,398166450,301208957,3.8
556957.872,398166530,301208884,5.38
557057.872,398166530,301208884,5.76
557157.872,398166606,301208817,7.77
557257.872,398166606,301208817,8.26
557357.872,398166678,301208762,8.63
557457.872,398166678,301208762,7.5
