timestamp(ms),ATT.Roll,GPS[0].Lat,GPS[0].Lng
1044705.827,6.06,398188975,301197242
1044805.827,6.03,398189290,301197087
1044905.827,6.28,398189290,301197087
1045005.827,5.68,398189608,301196934
1045105.827,2.89,398189608,301196934
1045205.827,0.39,398189925,301196781
1045305.827,0.08999999999999998,398189925,301196781
1045405.827,-0.48,398190242,301196624
1045505.827,-1.05,398190242,301196624
1045605.827,-1.78,398190559,301196467
1045705.827,-2.51,398190559,301196467
1045805.827,-3.62,398190875,301196308
1045905.827,-3.71,398190875,301196308
1046005.827,-4.32,398191192,301196146
1046105.827,-4.13,398191192,301196146
1046205.827,-3.41,398191507,301195980
1046305.827,-3.23,398191507,301195980
1046405.827,-4.23,398191821,301195808
1046505.827,-4.42,398191821,301195808
1046605.827,-2.54,398192135,301195634
1046705.827,-1.55,398192135,301195634
1046805.827,-1.89,398192447,301195459
1046905.827,-3.01,398192447,301195459
1047005.827,-1.78,398192756,301195281
1047105.827,-0.14,398192756,301195281
1047205.827,2.22,398193065,301195101
1047305.827,2.52,398193065,301195101
1047405.827,1.51,398193372,301194921
1047505.827,0.66,398193372,301194921
1047605.827,-0.04999999999999999,398193677,301194740
1047705.827,-0.77,398193677,301194740
1047805.827,-0.21999999999999997,398193981,301194560
1047905.827,0.45000000000000007,398193981,301194560
1048005.827,0.6799999999999999,398193981,301194560
1048105.827,-0.78,398194286,301194384
1048205.827,-0.8,398194587,301194209
1048305.827,-1.64,398194587,301194209
1048405.827,-0.9,398194885,301194030
1048505.827,-0.41,398194885,301194030
1048605.827,-0.34,398195179,301193849
1048705.827,-0.28,398195179,301193849
1048805.827,-1.4,398195470,301193667
1048905.827,-1.58,398195470,301193667
1049005.827,-1.2,398195758,301193485
1049105.827,-2.92,398195758,301193485
1049205.827,-3.74,398196044,301193302
1049305.827,-3.7,398196044,301193302
1049405.827,-3.98,398196325,301193118
1049505.827,-3.83,398196325,301193118
1049605.827,-4.41,398196604,301192932
1049705.827,-3.85,398196604,301192932
1049805.827,-2.58,398196878,301192740
1049905.827,-2.3,398196878,301192740
1050005.827,-0.21999999999999986,398197145,301192543
1050105.827,-0.4,398197145,301192543
1050205.827,-2.19,398197410,301192345
1050305.827,-3.07,398197410,301192345
1050405.827,-1.65,398197672,301192148
1050505.827,-4.16,398197672,301192148
1050605.827,-5.86,398197935,301191954
1050705.827,-4.88,398197935,301191954
1050805.827,-3.3,398198195,301191759
1050905.827,-2.17,398198195,301191759
1051005.827,-0.69,398198451,301191556
1051105.827,-0.13000000000000006,398198451,301191556
1051205.827,1.47,398198704,301191348
1051305.827,2.12,398198704,301191348
1051405.827,2.88,398198958,301191139
1051505.827,3.43,398198958,301191139
1051605.827,1.22,398199213,301190939
1051705.827,-0.17000000000000004,398199213,301190939
1051805.827,-1.42,398199471,301190743
1051905.827,-0.74,398199471,301190743
1052005.827,-0.38,398199471,301190743
1052105.827,0.2,398199731,301190542
1052205.827,-2.46,398199993,301190334
1052305.827,-7.63,398199993,301190334
1052405.827,-16.43,398200253,301190116
1052505.827,-22.56,398200253,301190116
1052605.827,-29.98,398200500,301189884
1052705.827,-33.29,398200500,301189884
1052805.827,-36.19,398200731,301189635
1052905.827,-37.3,398200731,301189635
1053005.827,-38.61,398200731,301189635
1053105.827,-39.06,398200942,301189371
1053205.827,-40.14,398201131,301189092
1053305.827,-40.11,398201131,301189092
1053405.827,-40.26,398201299,301188803
1053505.827,-40.72,398201299,301188803
1053605.827,-39.89,398201444,301188503
1053705.827,-41.06,398201444,301188503
1053805.827,-41.2,398201564,301188189
1053905.827,-40.33,398201564,301188189
1054005.827,-37.93,398201564,301188189
1054105.827,-37.2,398201657,301187864
1054205.827,-38.31,398201733,301187537
1054305.827,-39.09,398201733,301187537
1054405.827,-39.14,398201796,301187211
1054505.827,-37.64,398201796,301187211
1054605.827,-35.64,398201837,301186877
1054705.827,-36.15,398201837,301186877
1054805.827,-36.93,398201855,301186538
1054905.827,-36.44,398201855,301186538
1055005.827,-35.86,398201851,301186201
1055105.827,-34.99,398201851,301186201
1055205.827,-35.7,398201818,301185866
1055305.827,-35.36,398201818,301185866
1055405.827,-32.8,398201756,301185532
1055505.827,-32.7,398201756,301185532
1055605.827,-33.14,398201669,301185202
1055705.827,-33.9,398201669,301185202
1055805.827,-35.37,398201561,301184878
1055905.827,-35.42,398201561,301184878
1056005.827,-35.08,398201561,301184878
1056105.827,-35.3,398201432,301184560
1056205.827,-36.34,398201279,301184250
1056305.827,-36.93,398201279,301184250
1056405.827,-37.31,398201097,301183951
1056505.827,-38.41,398201097,301183951
1056605.827,-40.15,398200893,301183662
1056705.827,-40.19,398200893,301183662
1056805.827,-39.69,398200674,301183385
1056905.827,-39.99,398200674,301183385
1057005.827,-39.37,398200440,301183122
1057105.827,-38.65,398200440,301183122
1057205.827,-37.55,398200182,301182876
1057305.827,-37.42,398200182,301182876
1057405.827,-37.48,398199903,301182652
1057505.827,-37.13,398199903,301182652
1057605.827,-36.43,398199598,301182463
1057705.827,-36.15,398199598,301182463
1057805.827,-34.86,398199268,301182316
1057905.827,-33.77,398199268,301182316
1058005.827,-32.27,398199268,301182316
1058105.827,-30.94,398198922,301182208
1058205.827,-29.45,398198571,301182131
1058305.827,-28.34,398198571,301182131
1058405.827,-26.11,398198217,301182080
1058505.827,-24.78,398198217,301182080
1058605.827,-23.73,398197862,301182045
1058705.827,-22.79,398197862,301182045
1058805.827,-21.4,398197508,301182026
1058905.827,-20.45,398197508,301182026
1059005.827,-20.37,398197508,301182026
1059105.827,-20.16,398197155,301182029
1059205.827,-18.85,398196801,301182053
1059305.827,-17.92,398196801,301182053
1059405.827,-16.24,398196448,301182094
1059505.827,-15.49,398196448,301182094
1059605.827,-13.85,398196096,301182148
1059705.827,-12.66,398196096,301182148
1059805.827,-11.05,398195747,301182209
1059905.827,-10.11,398195747,301182209
1060005.827,-8.47,398195400,301182275
1060105.827,-7.78,398195400,301182275
1060205.827,-6.96,398195055,301182348
1060305.827,-6.67,398195055,301182348
1060405.827,-5.7,398194711,301182429
1060505.827,-4.98,398194711,301182429
1060605.827,-4.46,398194368,301182518
1060705.827,-4.35,398194368,301182518
1060805.827,-5,398194026,301182612
1060905.827,-4.48,398194026,301182612
1061005.827,-3.51,398194026,301182612
1061105.827,-3.27,398193684,301182713
1061205.827,-2.96,398193342,301182819
1061305.827,-3.47,398193342,301182819
1061405.827,-3.32,398193001,301182928
1061505.827,-2.64,398193001,301182928
1061605.827,-1.36,398192661,301183041
1061705.827,-1.57,398192661,301183041
1061805.827,-4.33,398192322,301183157
1061905.827,-3.86,398192322,301183157
1062005.827,-2.8,398192322,301183157
1062105.827,-2.61,398191984,301183276
1062205.827,-3.11,398191648,301183401
1062305.827,-3.35,398191648,301183401
1062405.827,-1.93,398191314,301183531
1062505.827,-0.5499999999999999,398191314,301183531
1062605.827,2.3,398190981,301183662
1062705.827,3.3,398190981,301183662
1062805.827,3.62,398190651,301183790
1062905.827,3.54,398190651,301183790
1063005.827,4.09,398190651,301183790
1063105.827,4.08,398190321,301183915
1063205.827,3.07,398189991,301184039
1063305.827,2.04,398189991,301184039
1063405.827,0.77,398189661,301184162
1063505.827,-0.040000000000000036,398189661,301184162
1063605.827,-1.38,398189334,301184288
1063705.827,-2.33,398189334,301184288
1063805.827,-2.84,398189007,301184417
1063905.827,-1.89,398189007,301184417
1064005.827,1.6800000000000002,398189007,301184417
1064105.827,4.39,398188679,301184544
1064205.827,5.75,398188346,301184666
1064305.827,4.86,398188346,301184666
1064405.827,3.57,398188009,301184783
1064505.827,2,398188009,301184783
1064605.827,-0.6399999999999999,398187672,301184901
1064705.827,-2.43,398187672,301184901
1064805.827,-4.44,398187336,301185026
1064905.827,-5.48,398187336,301185026
1065005.827,-5.3,398187336,301185026
1065105.827,-4.99,398187002,301185157
1065205.827,-6.86,398186670,301185295
1065305.827,-7.49,398186670,301185295
1065405.827,-5.85,398186336,301185440
1065505.827,-3.89,398186336,301185440
1065605.827,-1.48,398186004,301185587
1065705.827,-0.17000000000000004,398186004,301185587
1065805.827,0.4,398185671,301185733
1065905.827,0.58,398185671,301185733
1066005.827,0.56,398185671,301185733
1066105.827,1.64,398185340,301185879
1066205.827,3.74,398185011,301186024
1066305.827,3.66,398185011,301186024
1066405.827,3.01,398184684,301186168
1066505.827,2.07,398184684,301186168
1066605.827,0.51,398184358,301186311
1066705.827,-0.5799999999999998,398184358,301186311
1066805.827,-0.4799999999999999,398184036,301186457
1066905.827,0.9,398184036,301186457
1067005.827,2.11,398184036,301186457
1067105.827,2.68,398183715,301186601
1067205.827,2.89,398183395,301186741
1067305.827,2.99,398183395,301186741
1067405.827,3.17,398183075,301186880
1067505.827,3,398183075,301186880
1067605.827,1.78,398182756,301187014
1067705.827,1.57,398182756,301187014
1067805.827,0.43999999999999995,398182435,301187147
1067905.827,-0.04000000000000001,398182435,301187147
1068005.827,-1.55,398182435,301187147
1068105.827,-1.87,398182115,301187279
1068205.827,-1.71,398181794,301187412
1068305.827,-1.64,398181794,301187412
1068405.827,-0.48,398181473,301187547
1068505.827,0.51,398181473,301187547
1068605.827,1.86,398181151,301187683
1068705.827,2.6,398181151,301187683
1068805.827,2.98,398180826,301187817
1068905.827,3.63,398180826,301187817
1069005.827,3.88,398180826,301187817
1069105.827,3.82,398180501,301187951
1069205.827,3.25,398180176,301188084
1069305.827,2.53,398180176,301188084
1069405.827,2.79,398179850,301188213
1069505.827,3.07,398179850,301188213
1069605.827,3.14,398179524,301188337
1069705.827,2.49,398179524,301188337
1069805.827,1.18,398179197,301188458
1069905.827,0.68,398179197,301188458
1070005.827,0.12,398179197,301188458
1070105.827,0.07,398178869,301188577
1070205.827,0.31,398178542,301188697
1070305.827,0.15999999999999998,398178542,301188697
1070405.827,-1.72,398178215,301188818
1070505.827,-1.89,398178215,301188818
1070605.827,-3.63,398177889,301188940
1070705.827,-4.31,398177889,301188940
1070805.827,-2.31,398177562,301189064
1070905.827,-0.49,398177562,301189064
1071005.827,1.38,398177562,301189064
1071105.827,1.98,398177230,301189189
1071205.827,1.16,398176893,301189313
1071305.827,0.020000000000000018,398176893,301189313
1071405.827,-0.57,398176553,301189438
1071505.827,0.18,398176553,301189438
1071605.827,1.36,398176210,301189566
1071705.827,1.97,398176210,301189566
1071805.827,4.5,398175864,301189695
1071905.827,7.25,398175864,301189695
1072005.827,9.28,398175864,301189695
1072105.827,11.66,398175517,301189822
1072205.827,21.76,398175167,301189940
1072305.827,27.99,398175167,301189940
1072405.827,35.94,398174812,301190036
1072505.827,39.52,398174812,301190036
1072605.827,42.34,398174449,301190096
1072705.827,43.47,398174449,301190096
1072805.827,44.63,398174083,301190110
1072905.827,45.79,398174083,301190110
1073005.827,46.49,398173719,301190075
1073105.827,47.23,398173719,301190075
1073205.827,48.48,398173366,301189984
1073305.827,49,398173366,301189984
1073405.827,48.41,398173035,301189839
1073505.827,47.71,398173035,301189839
1073605.827,45.68,398172731,301189648
1073705.827,43.72,398172731,301189648
1073805.827,41.97,398172453,301189427
1073905.827,40.7,398172453,301189427
1074005.827,38.35,398172194,301189191
1074105.827,36.68,398172194,301189191
1074205.827,33.59,398171950,301188945
1074305.827,31.11,398171950,301188945
1074405.827,27.81,398171719,301188691
1074505.827,25.57,398171719,301188691
1074605.827,22.88,398171497,301188430
1074705.827,22.24,398171497,301188430
1074805.827,21.41,398171283,301188161
1074905.827,21.77,398171283,301188161
1075005.827,21.25,398171078,301187882
1075105.827,19.86,398171078,301187882
1075205.827,17.66,398170884,301187590
1075305.827,17.24,398170884,301187590
1075405.827,22.34,398170702,301187289
1075505.827,28.31,398170702,301187289
1075605.827,34.84,398170536,301186980
1075705.827,36.68,398170536,301186980
1075805.827,38.34,398170396,301186661
